# Dec(deg) RA(deg) MueE(photon*m)  NChan   AngErrorEstimate(deg)   MJD
60.598 51.761 2204.366 17 2.518 54628.49422485
51.530 177.265 1017.294 17 1.246 54628.50063963
45.373 19.082 1487.459 13 1.291 54628.51286307
17.738 340.615 1652.708 20 0.658 54628.53721569
29.404 235.788 3537.519 27 0.648 54628.54689061
49.808 60.577 4055.774 30 0.800 54628.65603077
12.597 80.431 1226.422 18 1.268 54628.73344524
74.142 168.036 554.084 22 1.082 54628.76589910
47.547 300.938 1053.344 17 1.004 54628.77330240
23.256 70.507 1333.551 13 0.642 54628.78320593
30.995 287.231 676.719 17 1.515 54628.79352478
21.683 142.423 2318.056 20 0.805 54628.83795966
64.882 192.791 1396.430 18 0.853 54628.91923927
67.054 218.102 3122.655 27 0.907 54629.00795921
39.907 257.020 1687.177 19 1.367 54629.01959877
47.238 120.971 2767.077 21 1.941 54629.03442725
30.728 284.978 4437.248 28 1.476 54629.06978922
49.203 120.700 2247.350 17 2.367 54629.23003801
0.069 82.303 10053.894 20 2.642 54629.24672814
18.429 325.023 2878.979 16 2.428 54629.26880105
25.768 276.797 2016.126 19 1.900 54629.28776105
16.456 254.555 4838.173 29 1.413 54629.35426534
4.230 175.020 3255.880 45 1.393 54629.36608570
1.092 0.773 2128.931 13 1.690 54629.36889001
50.037 78.023 1294.213 23 0.617 54629.38041135
78.094 138.185 7217.316 52 0.753 54629.38298787
53.437 249.152 2857.542 15 0.924 54629.38995657
23.079 183.597 737.867 17 1.032 54629.39585361
54.091 14.685 2629.794 16 1.400 54629.40022666
27.814 154.540 2629.505 25 0.885 54629.42002017
54.176 14.118 872.498 19 2.190 54629.47762831
16.677 175.198 1277.047 21 0.494 54629.51036695
37.755 253.885 1947.525 20 0.865 54629.51565349
23.839 67.619 2346.555 16 1.256 54629.60744958
39.406 249.537 1314.036 17 1.186 54629.61325643
48.486 146.670 2365.914 34 0.495 54629.62094126
20.781 256.813 2510.609 31 1.856 54629.62374836
81.718 110.966 2289.821 27 2.252 54629.66119444
17.440 159.244 1867.543 15 0.722 54629.66399153
5.827 239.667 1676.907 23 1.606 54629.68644488
18.826 99.150 1664.515 19 0.868 54629.68877286
39.565 220.698 7363.715 28 0.472 54629.71567562
13.854 86.776 10629.005 34 1.267 54629.74447508
10.800 103.388 1354.842 19 0.697 54629.81564308
28.822 137.299 3979.517 44 1.327 54629.82940007
46.354 294.594 2209.682 19 0.759 54629.83454147
36.055 4.744 930.752 22 2.087 54629.88261615
40.879 167.189 1715.433 25 0.523 54629.90067472
45.489 259.008 5744.596 36 1.668 54629.90931423
7.431 142.851 2753.930 22 1.665 54629.92364117
24.520 357.114 12614.274 37 0.399 54629.96004735
62.368 17.188 1404.206 12 0.896 54629.96354983
33.190 327.316 2003.885 22 1.298 54629.97828945
16.399 174.330 3163.742 24 0.729 54629.98465238
39.072 161.169 6711.870 31 1.488 54630.02196491
52.700 227.861 6067.629 14 0.769 54630.02963261
36.244 356.837 1076.736 17 0.833 54630.03398535
4.835 163.291 1801.076 21 2.817 54630.24128228
76.777 64.894 1474.563 24 0.903 54630.26552007
19.297 242.746 1935.659 20 0.536 54630.38500899
8.969 327.150 1789.141 22 1.083 54630.39281074
4.614 198.945 1967.204 16 1.167 54630.39864954
63.553 140.677 16392.399 29 1.903 54630.40498138
18.553 151.867 2834.004 28 0.559 54630.42973424
12.002 299.005 10841.783 15 0.887 54630.52999851
22.326 107.468 7967.401 42 0.739 54630.53372293
25.311 295.250 6006.730 30 1.243 54630.54581603
42.171 181.992 1232.838 17 1.895 54630.59221027
3.114 239.750 8781.551 78 0.330 54630.60388513
9.619 294.268 3193.609 20 1.203 54630.64641103
16.464 81.159 1710.184 15 2.425 54630.73935728
52.414 256.490 2603.339 24 0.398 54630.75347392
2.905 262.823 2193.814 26 0.506 54630.76260886
6.189 88.622 1617.428 17 1.505 54630.78464468
5.592 267.893 3233.905 33 0.413 54630.78884209
44.330 325.899 12005.392 93 0.265 54630.82070909
12.328 355.486 1464.194 15 1.819 54630.91283696
4.319 197.197 822.362 18 1.360 54630.95982897
17.045 252.133 5801.501 24 1.223 54631.01670638
44.132 195.835 1117.847 26 0.711 54631.02396741
31.520 98.393 2859.111 28 1.023 54631.16708518
15.114 235.548 9946.833 61 1.316 54631.17452374
0.481 86.861 1470.313 18 1.012 54631.17812094
0.145 279.101 2279.714 26 1.216 54631.22984865
48.330 234.215 1719.899 15 0.785 54631.23407716
33.825 329.369 6255.151 33 0.977 54631.30197437
23.289 204.083 2799.670 22 0.658 54631.32247370
25.523 125.669 3913.959 17 1.716 54631.32353814
39.856 71.132 1345.901 18 1.471 54631.32492157
18.001 101.461 12758.755 44 2.134 54631.39918447
21.024 192.511 1947.065 26 0.821 54631.42229506
4.911 12.524 7557.097 82 0.421 54631.44897382
59.627 143.833 1237.385 18 0.758 54631.49396584
26.732 137.679 5020.310 23 0.801 54631.51167366
50.666 58.746 1105.887 16 0.763 54631.56944943
29.970 326.017 1920.087 15 0.633 54631.61127283
40.809 286.558 19882.906 32 1.970 54631.61378418
22.457 72.881 4390.647 39 1.096 54631.66346390
0.316 151.525 3097.426 17 1.248 54631.66458024
22.313 93.349 4016.748 13 0.654 54631.80674847
71.353 46.141 1091.252 18 1.308 54631.81452324
68.530 140.984 792.693 20 0.813 54631.84586835
37.891 109.122 1048.232 19 1.472 54631.86098041
2.811 336.815 1992.090 27 0.907 54631.96582987
39.628 331.991 1739.454 29 1.407 54631.97263853
9.992 3.052 2650.917 38 0.383 54632.05675092
53.355 228.973 1099.927 19 0.709 54632.06557179
14.356 354.009 6015.904 35 1.640 54632.06984733
37.578 16.864 1242.315 26 0.523 54632.07701455
11.689 239.968 1938.200 29 0.772 54632.10886901
4.669 90.749 1198.661 17 0.752 54632.12285188
14.479 139.417 2366.875 20 1.646 54632.14098568
10.177 257.200 3312.544 17 1.104 54632.16387083
60.906 16.628 2013.173 26 0.818 54632.18453410
33.963 339.932 1764.909 19 2.793 54632.19481936
23.692 66.418 3260.547 17 0.494 54632.33543201
48.315 83.147 4735.952 23 0.589 54632.33911985
8.084 129.077 1531.307 27 0.512 54632.35984591
4.838 162.790 1617.621 19 0.571 54632.37366594
2.943 322.626 3578.531 20 1.194 54632.37721593
23.952 357.186 2912.175 34 0.841 54632.41256186
8.588 135.623 2742.774 14 0.843 54632.42807988
43.088 256.692 1858.500 15 1.416 54632.44032707
4.726 21.752 2605.309 20 1.157 54632.44816216
17.214 181.318 5654.304 56 0.963 54632.45424081
2.214 192.205 2259.348 23 0.581 54632.45547118
23.691 107.065 11545.866 57 0.949 54632.48311076
18.880 151.681 9727.292 64 0.596 54632.48407895
74.017 91.116 5043.503 40 1.112 54632.52275322
2.235 11.106 1477.473 20 0.793 54632.55232246
13.108 231.045 5369.372 39 2.493 54632.57969041
31.191 58.590 5883.005 22 1.522 54632.58159894
26.752 4.452 1604.710 20 1.084 54632.61651556
18.474 91.779 2140.860 18 0.948 54632.61900672
9.411 116.659 1384.810 13 0.802 54632.70135454
43.913 290.809 1348.348 21 1.015 54632.75523710
5.338 254.726 9427.760 76 0.669 54632.76643003
2.486 96.801 4984.773 36 2.461 54632.78797830
8.679 247.892 2218.749 21 2.055 54632.79886804
71.485 168.673 1800.509 23 1.955 54632.80253792
2.228 173.898 7033.765 42 1.297 54632.84570267
8.339 291.100 2540.351 22 0.363 54632.85018557
17.166 334.462 2072.193 25 0.487 54632.85703536
36.002 243.317 7773.177 45 0.593 54632.86863707
55.635 221.858 2356.679 21 1.278 54632.88268768
41.845 73.899 8837.578 70 0.451 54632.91741864
5.154 349.593 1145.576 16 1.207 54632.95201681
32.006 212.099 1964.188 20 0.532 54632.95446627
32.163 258.151 8604.013 24 0.625 54632.98605176
68.698 150.096 842.375 17 0.673 54633.00777063
80.329 319.415 1988.510 26 0.447 54633.06987229
39.195 198.671 1914.687 22 0.863 54633.07544107
30.824 84.082 1074.729 22 0.884 54633.09680539
61.257 30.408 1578.460 24 1.287 54633.09715451
55.919 161.197 2135.376 21 2.199 54633.11286032
63.314 323.566 2153.782 21 0.508 54633.11676676
41.294 184.516 3579.880 25 1.109 54633.12493421
5.661 6.631 3082.013 14 1.273 54633.21929733
17.045 165.301 1864.471 19 1.058 54633.27343649
4.378 173.600 2859.403 17 0.713 54633.31704362
47.577 204.414 3805.465 36 0.494 54633.36357695
45.875 84.868 10426.206 62 0.976 54633.38902522
53.579 129.037 3699.848 44 1.260 54633.39222444
0.682 16.332 1790.639 17 1.066 54633.40253936
16.831 67.506 10169.023 26 2.114 54633.44499412
56.081 85.908 2356.818 22 0.631 54633.45673291
2.683 313.611 2563.857 21 1.361 54633.46106231
12.154 93.635 15837.101 69 0.643 54633.46933018
30.668 338.150 5151.119 25 1.334 54633.49840466
22.680 170.710 1761.222 19 0.600 54633.52414172
19.832 239.729 1902.066 27 0.537 54633.53027365
47.010 241.495 768.630 17 0.686 54633.54333610
30.015 68.734 3233.656 26 0.728 54633.56641236
41.281 317.159 4772.988 43 1.274 54633.63087092
54.236 230.719 2374.432 14 1.742 54633.65942197
4.317 247.470 3457.513 41 0.629 54633.67134834
1.129 34.288 8124.606 18 1.455 54633.67367209
2.063 86.611 1053.634 22 1.244 54633.76531451
42.638 331.223 1056.906 17 0.859 54633.79795392
44.552 135.993 1402.613 17 0.909 54633.82048081
19.696 42.700 2177.990 20 1.175 54633.82486961
3.620 340.685 2301.933 28 0.854 54633.84203219
2.407 134.181 1194.313 20 0.840 54633.85912103
1.278 134.298 5189.355 22 0.882 54633.87122528
62.141 303.560 666.554 16 0.888 54633.88636576
60.534 77.667 1663.788 20 1.895 54633.89242984
17.873 228.936 9627.198 47 0.947 54633.89984241
41.211 84.795 2051.335 27 1.044 54633.90209564
44.721 14.556 1818.546 17 1.234 54633.90480769
0.165 55.179 1807.843 14 1.158 54633.94133368
21.782 142.926 4233.061 16 2.418 54633.94988182
75.308 150.870 3034.522 33 0.563 54633.95973584
52.189 126.552 1127.783 16 1.427 54634.03149167
7.519 43.840 2295.430 21 1.721 54634.03445512
50.836 37.925 5080.398 38 1.288 54634.04171430
6.754 185.619 2323.649 17 0.947 54634.04872633
34.001 50.175 1501.383 17 0.746 54634.06018032
0.050 167.371 3958.019 26 1.348 54634.06229811
51.883 290.775 2018.966 20 1.429 54634.07983172
69.913 295.256 1664.076 26 2.636 54634.15807656
1.582 172.621 31128.885 143 1.426 54634.16500063
29.725 225.416 1011.492 20 1.068 54634.17124984
44.798 175.126 2171.063 26 1.324 54634.19445242
19.920 318.681 1685.094 17 2.096 54634.21535296
16.851 164.834 4705.699 18 0.955 54634.21593051
54.906 351.506 1150.315 17 0.814 54634.29222150
22.772 341.701 1444.631 20 1.900 54634.36622058
58.168 65.291 4829.411 18 0.564 54634.36767794
44.277 186.569 2563.604 20 0.764 54634.37522191
26.557 151.889 1822.174 20 1.430 54634.47153105
13.793 246.386 1840.404 24 1.769 54634.53122643
1.878 32.087 1394.650 20 0.704 54634.54181735
28.462 139.112 2229.239 17 1.357 54634.57925199
22.245 254.591 1938.509 17 0.821 54634.58874986
30.906 41.977 1737.983 20 2.842 54634.70792719
1.682 170.497 1337.814 19 1.417 54634.73837764
5.129 278.985 3282.461 22 1.387 54634.74399818
6.679 92.496 2744.345 35 0.705 54634.75179230
5.854 101.453 3112.221 25 2.291 54634.77734785
38.197 279.232 2610.536 29 0.775 54634.79275558
25.188 133.808 1295.704 23 0.844 54634.81521534
0.102 353.063 2451.465 16 0.930 54634.88244562
14.619 114.901 3049.222 26 1.098 54634.93127136
62.608 299.079 951.789 17 0.759 54634.97275708
14.721 154.448 1741.518 22 1.571 54634.97468057
27.890 18.487 3221.810 13 2.550 54635.11603665
29.166 154.969 1952.158 16 0.598 54635.12870850
70.845 188.665 12526.755 35 0.679 54635.20372707
3.885 79.016 42263.259 193 0.569 54635.22559321
50.825 207.519 3652.331 24 1.185 54635.29046668
53.890 355.913 1422.046 19 0.710 54635.29389368
7.059 312.671 1460.118 20 1.160 54635.30506913
33.002 131.389 1633.119 22 0.990 54635.32731849
2.293 211.413 2630.479 23 0.696 54635.36595041
36.903 258.636 4738.221 34 2.060 54635.37685006
50.647 120.130 3510.102 26 1.509 54635.39528820
31.678 144.030 2064.086 20 0.850 54635.39829395
55.807 19.725 5323.400 29 0.715 54635.42774004
1.596 225.165 6707.154 21 0.781 54635.44308290
23.785 205.090 6023.448 33 1.016 54635.53453861
21.193 191.264 1919.919 15 1.349 54635.58149908
63.264 351.252 3215.231 43 0.707 54635.61026570
20.006 262.050 4453.512 19 1.546 54635.61875262
21.548 39.321 1101.591 21 0.542 54635.62024255
21.555 166.303 3599.308 15 0.965 54635.67123299
34.215 248.961 3704.722 46 0.549 54635.72797215
31.756 118.778 2462.119 45 0.588 54635.74054689
24.842 238.354 3799.635 28 1.095 54635.76246786
1.716 120.926 5008.916 48 0.488 54635.78128862
60.301 101.349 1503.485 18 1.157 54635.79092355
25.820 83.961 2281.481 29 0.840 54635.79769596
23.666 43.786 2042.944 21 0.819 54635.82696707
2.958 353.482 1306.767 13 0.797 54635.85236630
42.260 160.865 2564.208 31 0.720 54635.89052648
26.717 320.599 2348.547 33 1.694 54635.91540209
40.528 182.548 1960.532 18 0.685 54635.92667095
27.900 283.495 3522.931 23 1.132 54636.00824866
45.944 261.332 2357.351 26 1.132 54636.07139794
62.599 32.051 1473.412 36 0.656 54636.11634361
61.114 241.485 6173.256 24 0.595 54636.13157611
77.185 273.310 2029.328 28 0.588 54636.14757963
7.206 124.388 3621.019 23 1.297 54636.17204634
9.443 187.418 2418.768 16 2.281 54636.20438689
6.968 113.266 2405.111 19 0.883 54636.23374771
60.724 146.842 1803.722 22 1.779 54636.23914230
25.389 103.624 2065.494 18 1.217 54636.24992809
33.380 305.664 788.163 13 0.678 54636.26034310
8.808 254.004 2924.694 30 1.014 54636.27698797
17.541 349.342 5144.576 29 0.881 54636.28164212
3.310 127.598 1998.910 24 0.952 54636.29358177
10.385 85.415 2029.493 24 0.865 54636.30745410
50.861 7.767 1341.909 25 0.462 54636.37568803
63.365 254.067 1432.897 19 0.654 54636.39110941
54.594 270.259 5866.412 31 1.700 54636.43099616
34.201 158.045 744.678 14 0.852 54636.47287909
6.879 194.661 1561.787 22 0.593 54636.49029630
12.952 109.572 1786.760 21 1.029 54636.49357326
12.072 254.752 1967.226 16 1.764 54636.52410705
27.973 221.766 1014.528 19 0.833 54636.53763794
19.567 192.969 2633.761 26 0.879 54636.55425511
29.519 186.810 2454.236 21 2.133 54636.58062945
27.141 163.835 2115.852 19 2.201 54636.60603480
75.606 100.918 927.047 19 1.071 54636.61396677
53.132 275.096 3136.355 26 0.783 54636.64245410
67.292 231.962 8427.350 58 0.817 54636.73462383
71.674 146.928 669.265 19 0.848 54636.75965411
31.326 342.610 2183.750 18 2.048 54636.77306736
10.976 139.564 1647.593 18 0.998 54636.79334141
18.327 315.422 1299.482 18 0.798 54636.79626569
18.404 51.512 9609.982 22 1.655 54636.81478013
39.630 142.961 1547.425 16 0.983 54636.81543727
1.196 57.379 3799.623 21 0.569 54636.85702089
35.699 248.936 1426.877 15 0.911 54636.90490389
18.655 3.991 1340.960 15 2.092 54636.90812644
9.007 153.584 2467.056 22 0.761 54636.91235398
61.144 48.477 2562.053 24 1.264 54636.93372190
67.052 293.456 1048.006 26 0.825 54637.28746218
50.545 299.956 2606.226 24 1.104 54637.29155242
68.083 111.457 841.516 19 0.818 54637.34456279
17.901 226.011 2727.999 18 1.714 54637.36110413
70.640 287.672 1187.087 13 1.797 54637.37341000
6.473 168.150 3442.466 36 0.773 54637.40056850
9.125 291.172 2946.962 23 1.597 54637.42296207
46.261 112.356 1198.936 12 1.004 54637.43021236
27.291 353.530 1811.916 20 0.501 54637.46735432
33.889 134.305 1798.932 20 0.903 54637.46884335
24.195 42.134 2355.756 13 0.988 54637.47878551
2.553 42.176 3982.263 17 0.888 54637.48520436
10.878 197.360 11668.909 17 0.902 54637.50581332
44.996 246.027 3455.777 19 1.029 54637.51482390
61.673 96.834 1353.872 21 0.567 54637.57731993
40.269 333.030 1137.776 14 1.986 54637.59835590
43.086 171.012 6041.700 52 0.393 54637.60614536
14.259 228.789 2435.029 33 1.096 54637.73320435
22.296 35.128 2588.500 17 0.862 54637.78336991
24.711 313.635 10896.983 53 1.008 54637.80415798
45.298 173.517 4265.351 20 2.790 54637.82052688
4.260 162.347 1952.538 28 1.425 54637.82624126
58.803 305.616 1703.863 29 0.501 54637.82955188
20.458 308.360 1396.501 14 0.970 54637.86383796
31.838 126.523 2119.532 19 0.865 54637.89776568
25.141 67.255 3362.455 28 1.094 54637.90781590
22.987 266.813 8610.244 46 1.997 54637.93196886
50.427 202.767 1578.951 18 1.067 54637.94527551
1.261 25.297 2063.343 20 1.343 54637.97857536
39.868 323.016 2905.494 15 1.206 54637.98336496
65.215 47.932 2577.780 19 1.313 54637.98686821
11.774 359.234 6341.279 47 0.305 54638.05650500
14.999 275.137 2784.915 25 1.706 54638.10917316
30.887 98.471 2378.467 17 1.147 54638.11799669
28.590 237.600 6376.018 18 0.645 54638.12353573
60.212 98.963 1102.974 20 1.292 54638.12436411
61.755 166.845 3706.863 21 0.512 54638.14249893
38.003 355.718 1766.253 13 1.657 54638.17770465
67.290 215.282 1068.872 17 0.662 54638.27195469
40.075 104.702 1695.153 19 0.453 54638.31060652
60.259 355.421 1639.090 23 0.972 54638.32479175
35.852 223.761 16478.799 21 1.028 54638.32766809
19.632 185.363 3201.411 39 0.642 54638.35423110
19.951 239.516 8741.293 38 1.836 54638.38689699
13.075 289.298 1616.406 22 0.985 54638.44824881
56.971 29.212 2491.259 17 2.283 54638.44900484
22.242 331.391 3512.384 43 0.801 54638.45993707
4.885 265.059 9871.425 25 0.729 54638.49512734
41.229 250.485 2683.788 19 0.913 54638.53654599
5.423 282.858 6023.596 24 1.060 54638.58910980
12.729 54.019 1928.380 14 0.815 54638.59356530
9.734 197.760 9092.615 28 0.372 54638.60394811
13.148 120.647 66465.209 128 0.951 54638.60501736
56.466 170.055 1679.947 28 0.833 54638.62409392
28.912 60.284 1883.992 15 0.870 54638.64967080
11.100 259.704 3803.055 14 2.931 54639.04492332
35.830 238.821 3472.956 21 2.037 54639.06166889
48.090 4.482 1890.694 16 1.775 54639.06429135
0.255 207.475 5559.951 26 1.540 54639.07370308
57.024 282.202 1043.934 19 1.023 54639.12667956
57.966 309.477 1099.241 21 1.620 54639.18247211
15.404 295.019 2475.644 17 0.678 54639.26482188
7.639 344.519 1280.747 22 0.942 54639.27956138
1.601 333.763 824.379 15 1.403 54639.33642089
18.180 75.489 2471.859 24 0.815 54639.34385500
21.440 346.418 2132.250 15 0.952 54639.36439032
11.520 357.203 6535.976 38 0.400 54639.41136070
2.796 296.599 2324.262 23 0.886 54639.41322055
68.497 259.132 1309.229 12 1.200 54639.41985173
28.713 311.576 1937.025 23 0.716 54639.43467006
53.500 140.965 2546.589 16 0.536 54639.46138124
33.203 238.242 1611.619 33 0.788 54639.64875569
3.283 239.168 1563.189 23 0.739 54639.65676712
72.265 186.581 1560.496 19 2.418 54639.66784673
20.876 232.322 7089.378 40 2.692 54639.69898406
3.054 270.050 1445.199 24 0.570 54639.72034490
37.130 104.198 2027.056 17 0.519 54639.74119398
10.948 198.244 4012.690 18 0.782 54639.77968452
9.056 142.045 1368.255 19 0.908 54639.83600939
4.875 319.185 4224.170 26 1.144 54639.88302069
34.563 310.279 1297.062 26 0.839 54639.89359209
45.402 291.754 1373.614 18 0.991 54639.90640251
25.864 267.845 8130.040 43 1.538 54639.91384548
11.431 220.539 1514.800 15 1.156 54639.92362336
31.200 80.522 2205.765 16 0.968 54639.92910824
40.955 49.511 6964.352 31 2.519 54639.93889861
45.776 4.808 1945.126 19 0.514 54639.97033251
6.377 237.406 2428.527 22 0.667 54640.01108551
56.071 181.717 2563.131 11 1.050 54640.02953135
46.359 10.000 996.448 20 0.889 54640.04288424
24.392 16.598 3155.793 21 2.710 54640.04421474
46.612 138.006 3588.172 25 1.486 54640.04999191
38.633 41.917 8735.082 49 0.555 54640.05575445
11.784 239.293 1164.069 18 1.148 54640.08332116
42.880 330.377 3137.604 27 0.667 54640.10220124
27.542 39.369 1743.695 17 1.455 54640.11566074
23.564 50.676 12933.071 30 0.359 54640.12307250
5.367 56.360 2782.376 19 1.873 54640.14653499
19.076 257.290 2414.909 19 1.359 54640.17638826
2.528 254.370 1388.480 23 0.562 54640.17852963
20.998 294.580 3625.970 12 0.788 54640.18066241
28.078 124.809 5643.569 18 0.840 54640.19101944
18.053 280.022 1030.285 20 0.837 54640.20434655
50.943 6.132 19865.744 23 2.196 54640.21947508
4.803 219.158 12468.775 71 0.759 54640.25041711
21.543 78.397 3734.956 21 0.546 54640.28847097
39.428 151.833 1439.307 18 1.968 54640.29345795
0.326 329.531 1826.828 18 0.904 54640.30263953
3.667 124.685 4941.735 36 2.151 54640.34399945
1.311 270.472 3199.464 25 2.096 54640.35800603
36.369 324.993 874.583 14 0.698 54640.37020264
9.688 163.702 1063.910 18 1.480 54640.38476586
9.194 329.615 1344.174 18 0.661 54640.40328405
57.800 23.377 1619.216 19 1.214 54640.49431263
7.632 97.110 2184.199 20 0.943 54640.50731515
33.956 99.964 5020.149 35 1.386 54640.50755182
22.738 283.174 4283.592 34 1.150 54640.57849017
41.938 18.299 3155.463 48 0.547 54640.58117885
37.847 81.003 2239.261 17 0.659 54640.58588757
56.161 161.765 1042.154 14 0.940 54640.62503641
8.724 229.925 2072.223 25 0.901 54640.63399538
61.298 14.608 1708.146 15 1.457 54640.64101080
5.910 81.829 1333.652 17 0.817 54640.64249460
6.025 98.888 2740.210 28 0.481 54640.65983665
39.776 260.795 1307.578 28 0.431 54640.67725683
5.254 255.646 3435.526 52 0.741 54640.67989257
33.912 247.003 6271.474 20 0.627 54640.71674730
38.078 109.176 1322.773 24 0.921 54640.74721324
17.514 149.104 2098.527 23 0.713 54640.75485300
17.464 291.151 3519.471 37 0.730 54640.76002321
63.525 201.356 867.203 21 1.621 54640.76610611
69.222 123.856 2700.582 65 0.480 54640.78020247
21.554 57.035 11751.042 39 0.930 54640.80338567
73.245 305.071 1696.330 14 1.406 54640.89891814
7.970 329.319 2917.752 49 1.348 54640.90092088
32.717 311.089 2572.254 23 1.096 54640.90606584
14.306 166.177 1757.144 21 2.455 54640.91004094
20.440 111.211 135026.076 125 0.461 54640.93940082
50.656 154.014 1902.882 16 0.721 54640.95185571
11.366 49.151 2605.486 20 1.831 54640.95688714
2.885 165.288 1621.595 23 0.721 54640.99700616
14.745 18.174 1463.360 20 0.782 54640.99931725
0.535 26.283 1427.456 16 0.980 54641.05782380
19.462 349.037 2110.831 17 0.991 54641.06058505
42.944 36.297 2395.562 20 0.968 54641.10650828
69.202 95.365 2001.657 20 0.963 54641.11857581
29.822 226.496 1582.867 32 0.645 54641.13158569
2.558 0.803 14910.712 30 2.164 54641.13772922
4.489 131.827 12493.648 40 1.249 54641.15124727
25.431 167.170 2154.667 21 1.357 54641.19165345
12.401 138.035 5019.182 20 1.653 54641.24943649
41.486 233.124 6776.242 23 0.668 54641.25893090
52.896 350.898 1207.991 15 0.860 54641.30991971
65.576 94.320 1617.554 16 1.256 54641.32245393
42.492 110.465 13195.865 47 0.919 54641.32466729
2.869 314.689 7024.309 24 2.247 54641.34725275
3.434 139.508 2181.365 31 0.359 54641.36375401
10.970 132.347 2539.376 33 1.485 54641.38727837
30.351 349.779 1304.765 27 0.686 54641.38908633
31.963 256.971 2628.822 14 2.576 54641.41735602
19.025 1.023 1612.665 21 0.800 54641.45612095
42.853 31.796 1462.057 15 1.429 54641.45618019
60.989 159.068 1519.274 26 0.460 54641.46119266
42.188 100.067 1976.687 14 2.340 54641.52053756
0.473 91.008 4233.948 40 0.705 54641.54877040
80.928 291.895 739.827 18 0.816 54641.69261496
0.857 281.901 2469.948 19 0.941 54641.69364385
28.689 154.114 26318.893 131 0.799 54641.69738507
22.297 144.891 2314.261 29 0.638 54641.71116348
17.161 135.493 1707.677 16 1.565 54641.71480296
53.332 291.717 5671.607 58 0.473 54641.81112923
31.836 101.919 1862.810 23 0.930 54641.82234815
48.534 262.400 2386.126 20 2.049 54641.88954785
14.233 93.944 7229.804 40 1.181 54641.96323882
22.659 323.753 1956.628 16 0.999 54641.96671708
58.482 135.997 6099.210 22 0.724 54642.16239457
72.691 140.613 999.557 13 1.145 54642.18020852
47.492 89.670 1683.236 26 1.280 54642.18728084
76.477 324.449 712.518 19 1.843 54642.22013066
42.450 311.259 2535.046 21 0.996 54642.28329900
15.515 309.404 4710.159 26 0.531 54642.34423961
24.119 2.881 2762.811 16 2.745 54642.38585304
0.973 266.280 2107.946 14 1.201 54642.40912772
8.395 305.331 2264.568 22 0.997 54642.45979590
7.633 215.769 21985.582 66 2.634 54642.46029426
9.949 308.584 3244.830 32 2.344 54642.47248863
22.610 86.605 2543.690 18 0.984 54642.50938281
57.752 56.806 5124.592 25 1.387 54642.51318802
51.346 179.729 3436.747 35 0.263 54642.51374269
66.094 200.229 2661.996 21 1.031 54642.56008152
55.208 77.920 3839.755 23 1.165 54642.57979314
14.196 197.935 2144.898 38 0.738 54642.58255185
11.033 123.109 8417.264 41 0.608 54642.58775875
72.498 261.155 2973.106 20 1.885 54642.60728268
75.651 276.310 1888.694 25 0.408 54642.61221093
19.056 61.250 1241.740 27 1.699 54642.63421416
29.964 248.084 1544.221 23 2.161 54642.66013676
17.688 112.011 6135.804 30 0.590 54642.70136294
30.214 296.680 6082.264 28 0.615 54642.71242317
48.422 236.766 1930.478 28 0.674 54642.71752677
68.234 127.098 1091.444 25 1.395 54642.72292912
27.441 36.949 5907.952 16 1.717 54642.72620254
33.457 163.934 5154.181 22 0.695 54642.83822383
26.651 302.671 1091.406 22 0.861 54642.86212053
52.883 111.954 1274.612 17 1.008 54642.88099492
44.245 9.455 1536.541 21 0.684 54642.90929086
70.200 136.358 1231.248 25 0.870 54642.93012350
53.829 107.020 1945.991 20 0.548 54642.97726163
7.983 234.818 8986.275 42 1.147 54643.03158905
21.647 16.824 7721.923 27 0.516 54643.04718969
32.699 275.705 3473.141 37 1.300 54643.06933425
2.909 340.738 2433.380 19 1.873 54643.09287191
33.027 98.648 2207.161 32 0.886 54643.10171308
46.734 84.766 831.601 16 0.649 54643.21453480
30.189 106.551 3783.803 30 1.599 54643.24165984
41.472 340.411 2432.489 22 1.740 54643.25537834
67.758 176.406 1186.485 25 1.247 54643.30052481
35.999 53.825 1065.913 18 0.854 54643.39111372
17.518 111.525 2047.182 21 1.267 54643.45949340
1.722 23.992 8007.366 39 0.566 54643.46658593
32.555 223.275 2054.348 18 0.963 54643.48360952
1.203 229.264 2201.810 27 0.769 54643.55572743
0.099 125.115 4778.549 37 1.153 54643.56193213
19.393 185.658 1736.672 24 0.955 54643.57526534
51.583 231.982 3322.040 20 0.679 54643.57942966
13.139 140.297 4714.360 25 2.142 54643.59181365
3.318 133.825 1840.330 15 1.154 54643.63687589
52.642 240.037 1479.906 18 1.101 54643.63851721
37.062 356.894 2787.756 20 0.993 54643.68611196
28.549 337.297 3549.227 29 1.024 54643.70034838
45.623 74.058 1771.347 20 1.527 54643.71644380
18.775 73.877 7677.617 17 0.824 54643.75287773
14.946 141.776 4438.817 21 1.352 54643.80511914
9.356 337.806 1397.795 23 1.208 54643.80724385
22.848 90.512 2668.606 18 0.573 54643.84645356
36.526 202.356 1786.911 14 1.337 54643.90002025
13.900 102.166 3718.131 22 1.162 54643.94027671
25.128 66.482 985.078 20 1.039 54643.94056580
22.190 201.666 2213.678 17 0.671 54643.98727968
19.537 171.897 2127.343 16 1.314 54643.99680965
9.815 234.380 6042.508 33 1.432 54644.01302219
