# Dec(deg) RA(deg) MueE(photon*m)  NChan   AngErrorEstimate(deg)   MJD
18.263 250.440 1802.856 19 1.321 54839.39609204
4.243 356.624 1974.538 17 2.057 54839.40848411
14.999 186.887 2576.450 31 1.651 54839.57215232
34.387 77.359 2807.356 27 1.063 54839.58551921
12.375 239.293 2103.743 23 1.348 54839.61819001
68.477 347.360 2109.889 29 0.351 54839.62219512
8.747 40.075 4964.822 22 2.666 54839.66204137
25.589 257.124 1709.426 15 1.939 54839.67116285
54.435 335.053 6749.692 52 0.406 54839.67312664
4.844 267.264 3788.403 25 0.420 54839.67973014
3.320 306.914 3804.287 25 1.337 54839.71827609
53.796 83.043 1081.614 19 2.342 54839.72569807
70.025 268.837 5429.773 54 0.352 54839.73495201
38.535 108.647 4562.809 43 0.918 54839.74732291
50.886 287.843 2044.066 21 0.774 54839.84443682
15.742 201.314 3409.514 28 0.541 54839.85757969
36.338 334.331 1729.416 17 2.353 54839.87679405
18.386 164.187 1635.284 18 0.862 54839.89737208
26.187 282.643 1648.100 14 0.572 54839.92030939
17.482 354.646 4188.604 29 1.153 54839.94011867
24.370 50.655 3469.571 22 1.033 54839.94264275
60.352 224.893 2258.455 30 0.802 54839.95471363
49.172 256.816 1498.918 14 2.142 54839.99698250
57.700 77.631 975.977 15 1.456 54840.01507817
37.765 198.426 1638.854 15 0.611 54840.01577960
2.423 72.247 9536.509 46 0.922 54840.02772943
23.639 175.686 2080.854 21 1.237 54840.05688550
34.050 241.229 3468.996 28 0.857 54840.13115775
0.561 341.109 12413.763 47 1.569 54840.19799141
2.901 232.972 8262.842 85 0.604 54840.22068017
26.972 170.015 15351.832 75 0.942 54840.22683882
27.817 195.489 14138.217 66 1.654 54840.24548936
81.577 216.072 1197.834 24 1.030 54840.27877459
3.687 146.692 9683.885 52 0.598 54840.34098158
48.389 162.815 1161.945 17 1.378 54840.34478167
15.399 166.052 1396.578 13 0.642 54840.34846976
44.531 140.092 1265.564 45 0.648 54840.35543814
44.410 177.556 1766.855 35 0.904 54840.43614096
46.950 210.522 8956.429 43 0.400 54840.45254046
43.802 302.131 2446.877 19 1.242 54840.46160774
47.288 13.881 2262.060 40 0.414 54840.47176378
72.775 332.685 583.387 15 2.325 54840.50844414
16.023 45.966 16407.982 21 0.489 54840.54584048
1.253 204.728 2357.632 16 1.747 54840.55854052
5.607 82.304 5202.853 23 1.342 54840.61247567
64.986 135.722 1251.967 21 0.623 54840.61681453
31.268 228.170 1968.417 18 0.713 54840.62106303
39.363 45.346 1477.749 18 0.535 54840.63264476
38.542 291.309 2262.243 21 1.167 54840.63394894
13.067 11.564 15185.163 39 1.575 54840.64464675
69.460 152.548 1153.843 20 0.815 54840.65400440
19.370 126.311 1802.072 13 0.756 54840.66136812
20.490 237.967 2475.907 19 0.522 54840.66282139
16.214 252.252 1913.291 17 1.521 54840.69844190
2.160 265.027 2145.542 18 2.341 54840.74347327
10.840 125.053 2161.377 30 0.540 54840.79391478
35.675 202.547 3061.250 29 0.898 54840.82078043
55.438 41.072 4627.020 28 2.452 54840.83115932
21.642 89.602 1873.634 17 1.329 54840.85997723
72.110 208.201 1058.384 20 1.642 54840.86356370
2.857 350.160 7619.986 46 0.969 54840.86400813
14.107 347.656 1073.171 21 1.102 54840.88750397
36.879 227.172 3152.878 26 1.353 54840.91034195
1.666 37.108 2393.322 17 1.831 54840.92892267
16.391 23.409 4600.758 26 1.396 54840.93826042
25.587 236.485 796.427 23 0.890 54840.95261895
20.856 215.099 1565.584 19 0.946 54840.99800394
24.651 123.600 1951.840 15 1.069 54841.03576960
61.474 165.033 3841.046 13 1.984 54841.05161822
82.376 93.674 1566.862 18 2.491 54841.06714363
3.710 329.807 6038.558 28 1.132 54841.07125378
47.215 8.242 2436.314 26 0.862 54841.10373161
65.516 105.948 3931.421 18 2.179 54841.10634456
52.254 65.784 7992.811 17 0.921 54841.12964323
48.649 137.787 1224.472 15 1.183 54841.13399087
44.923 177.031 1969.774 17 1.101 54841.13609465
51.931 63.833 1180.541 25 0.684 54841.17175939
35.739 277.673 1768.408 30 0.632 54841.23619454
15.814 306.512 2204.016 25 0.793 54841.23897381
20.736 182.260 1795.794 25 1.933 54841.28713971
37.181 332.164 15350.349 25 0.401 54841.38826027
38.919 207.605 1826.946 15 1.046 54841.39225323
33.924 67.285 2396.754 12 0.502 54841.40485277
12.194 174.979 869.217 15 2.224 54841.44773047
30.611 43.635 845.495 15 0.645 54841.46665544
4.361 140.468 4500.850 24 2.141 54841.50059327
17.680 47.115 1685.793 25 0.434 54841.52017825
44.184 11.086 7896.046 36 2.339 54841.56405088
38.027 283.001 3911.049 32 0.828 54841.57364156
6.764 234.487 4471.893 48 0.707 54841.60371225
32.420 1.048 2371.413 21 1.270 54841.62727930
4.271 9.630 2742.036 15 1.071 54841.67467049
7.594 140.309 3592.375 35 1.549 54841.69125015
4.913 327.502 1452.214 16 0.990 54841.71086683
77.818 27.572 1646.893 28 0.818 54841.73574854
43.462 96.859 1559.316 14 0.660 54841.75106587
28.604 91.651 1059.445 18 0.653 54841.77585506
71.756 352.932 1228.480 27 0.480 54841.78436947
16.470 30.528 2026.923 18 0.947 54841.84212269
7.821 220.170 7441.415 43 1.305 54841.92426665
51.433 234.218 1723.922 14 0.594 54841.94949763
23.818 31.615 35045.352 13 0.607 54841.95391292
17.423 38.724 2973.957 31 1.159 54841.97672185
12.321 11.181 2550.488 25 0.558 54842.02611812
6.544 23.132 2602.736 23 0.353 54842.03422315
57.164 217.943 1347.247 18 2.298 54842.03821869
60.878 192.040 8571.534 61 1.211 54842.09837633
0.802 53.478 2881.549 19 2.645 54842.10419707
30.606 52.662 7521.581 66 0.804 54842.10693052
75.300 109.986 819.164 25 0.638 54842.10854353
0.660 112.612 1082.689 13 0.756 54842.14223420
19.133 184.306 5025.453 25 0.691 54842.14399825
17.383 299.922 1513.949 21 1.457 54842.17341921
35.672 306.727 1421.906 25 1.259 54842.17742029
50.212 200.279 1072.579 23 0.640 54842.18556149
32.134 21.318 3767.582 22 0.539 54842.18816068
29.051 288.124 4293.081 36 1.185 54842.21332741
55.166 223.559 3418.304 32 0.966 54842.22951911
8.268 135.641 2230.938 27 0.701 54842.23333876
16.774 98.954 3711.806 25 2.284 54842.25678494
28.725 110.106 4120.066 53 0.671 54842.26171179
18.696 311.611 21523.502 39 2.275 54842.27927782
55.642 272.635 1884.299 26 1.483 54842.27954462
46.028 297.791 2747.005 13 0.939 54842.29905510
3.935 204.842 3162.783 16 0.911 54842.36117110
12.947 305.185 2096.808 18 0.829 54842.36979761
33.165 302.732 2089.306 19 0.782 54842.38187740
20.412 115.387 1207.086 16 2.195 54842.41516738
35.873 220.091 2318.702 16 0.668 54842.48796272
61.180 204.051 1151.565 21 2.358 54842.52133187
18.176 61.900 1487.567 15 0.905 54842.62853819
1.465 23.264 4803.523 23 1.398 54842.72494059
69.602 274.814 1873.666 22 0.820 54842.74891516
1.140 140.128 1441.146 23 0.592 54842.75960428
4.908 126.866 7864.897 61 0.766 54842.77233028
11.269 173.290 2092.789 21 0.632 54842.77317357
11.171 8.688 3653.184 36 1.001 54842.80306994
43.767 315.633 8957.682 73 0.322 54842.81083422
40.282 248.332 4966.552 24 0.632 54842.81589823
5.170 137.748 975.021 23 1.419 54842.81669434
71.914 315.813 1094.466 26 0.373 54842.81858261
21.901 322.754 3718.414 20 0.723 54842.87397569
68.378 324.635 3818.182 32 0.387 54842.91381733
51.681 349.339 4212.134 20 0.454 54842.93486595
21.157 44.015 1465.130 16 2.055 54842.96914344
25.460 6.538 1816.252 21 0.471 54842.97662142
33.115 29.038 4171.498 28 0.601 54843.01760664
61.525 177.738 1776.870 22 0.628 54843.03202144
32.619 197.771 1154.654 16 1.318 54843.03352777
24.935 179.907 3004.577 33 0.734 54843.04926249
69.063 38.365 2567.963 18 0.883 54843.06670258
79.611 222.497 1004.047 17 2.896 54843.08149825
48.569 273.933 747.176 15 0.695 54843.22879454
11.359 335.930 23667.702 46 0.517 54843.24236964
42.764 145.701 1919.118 16 0.981 54843.25067540
37.029 132.842 1886.549 32 1.245 54843.26991754
31.280 316.448 2899.927 23 0.439 54843.31344349
13.689 147.601 2357.178 27 0.537 54843.32285670
25.959 77.025 4016.196 16 0.933 54843.34390031
1.360 74.806 2880.971 24 0.621 54843.34400172
55.037 85.807 2068.198 17 1.250 54843.36154763
15.978 178.297 2286.299 29 0.557 54843.36353689
67.857 119.922 1195.241 18 1.342 54843.40315249
9.698 302.329 1761.489 15 1.699 54843.46120170
2.305 94.860 3137.817 23 0.662 54843.50133976
0.436 241.749 4634.196 40 0.517 54843.53027658
64.700 325.673 1284.934 20 0.873 54843.53505856
2.851 86.107 2936.327 35 0.620 54843.57126579
1.792 53.307 1364.414 26 2.707 54843.60076509
24.057 213.338 7423.044 21 0.834 54843.61966110
46.331 73.284 1963.496 16 0.618 54843.62451305
31.588 38.740 1714.716 16 1.134 54843.63746794
29.767 56.176 6104.358 17 0.571 54843.64692545
4.440 99.909 3142.704 22 1.605 54843.67043480
46.907 204.448 3189.650 18 0.501 54843.69299264
60.710 2.105 2120.274 25 0.514 54843.73795707
21.154 67.536 4956.872 25 1.249 54843.74785725
68.986 336.970 1236.314 18 1.681 54843.76422643
38.581 96.050 1954.831 22 1.044 54843.76461804
3.902 300.084 2530.228 20 0.804 54843.79656179
31.264 345.405 2809.245 14 1.246 54843.80557573
40.457 103.710 7611.870 60 0.651 54843.81368343
46.969 41.541 13833.199 21 2.311 54843.81771078
3.580 76.114 2064.693 16 1.829 54843.85436200
57.418 253.425 9588.736 19 1.063 54843.86448395
13.460 346.354 1932.097 27 0.710 54843.86789703
3.630 38.142 2422.374 19 0.616 54843.96748271
37.326 217.465 2120.589 18 1.201 54843.99047519
17.527 55.186 3902.206 36 0.383 54844.00411303
23.296 4.528 1285.111 14 0.936 54844.02299913
0.800 169.707 1342.435 15 0.930 54844.09866845
1.571 234.709 1557.878 16 1.421 54844.14947404
48.356 329.823 7225.164 30 0.869 54844.18505835
74.174 124.523 974.463 19 0.778 54844.20512332
52.072 132.760 1546.748 24 1.455 54844.26711433
49.242 314.482 4650.788 46 0.488 54844.29157312
6.380 35.947 4525.997 22 2.289 54844.35776391
4.963 5.018 2122.513 18 2.960 54844.37145771
1.617 330.525 1622.189 16 1.430 54844.37736188
